"","time","title"
"53","2021-07-26","hp victus 16 gaming laptops with amd ryzen, intel core processors launched"
"54","2021-07-26","lenovo launches legion 5 pro with amd ryzen processor, nvidia rtx 30 series graphics, price starts rs 1,39,900"
"55","2021-07-26","lenovo legion 5 pro with amd ryzen 5000 series cpu, up to nvidia geforce rtx 3070 gpu launched in india"
"56","2021-07-24","intel appears to be feeling the competitive heat from amd"
"57","2021-07-24","question not whether amd can take market share from intel, but just how much"
"58","2021-07-24","amds worldbeating new chips have indian engineers at their core"
"59","2021-07-23","intel stock drops as signs of continued amd share gains eclipse earnings beat"
"60","2021-07-23","intel appears to be feeling the competitive heat from amd2 min read"
"61","2021-07-23","opinion intel appears to be feeling the competitive heat from amd"
"62","2021-07-20","comparing amds fidelityfx super resolution with nvidias dlss"
"63","2021-07-19","have the semis peaked jim cramer gives nvidia, amd a hard look"
"64","2021-07-17","intel wants to buy amds old chipmaking business how weird are semiconductor mergers going to get"
"65","2021-07-17","saudi karate champion tarek hamdi looks to add to gold medal haul at tokyo 2020"
"66","2021-07-16","intel wants to buy amds old chipmaking business how weird are semiconductor mergers going to get3 min read"
"67","2021-07-16","opinion intel wants to buy amds old chipmaking business how weird are semiconductor mergers going to get"
"68","2021-07-16","citigroup just raised its price target on amd stock by 459 heres why"
"69","2021-07-16","intel is reportedly in talks to buy the 30 billion foundry company amd spun off a decade ago"
"70","2021-07-14","cramer chip sectors contradictions amd, nvidia, intel"
"71","2021-07-13","patanjali group revenue crosses rs 30,000 crore mark in fy21 baba ramdev"
"72","2021-07-11","the top wall street analysts say investors should buy facebook amd right now"
